[L]2023-11-14 17:23:29.524|42_46025623713822721| DBG |DESKTOP-4PAEICH|pool-1-thread-15|bus.go|96|func1|System|Nil|"call log.info args = [web server is closed.]"| 
[L]2023-11-14 17:23:29.529|43_46025623713888257| INF |DESKTOP-4PAEICH|pool-1-thread-15|value.go|596|call|System|Nil|"web server is closed."| 
[L]2023-11-14 17:23:29.528|44_46025623730141185| INF |DESKTOP-4PAEICH|pool-1-thread-14|value.go|596|call|System|Nil|"Web server is closed. exit code = 0"| 
[L]2023-11-14 17:23:29.524|45_46025623730206721| ERR |DESKTOP-4PAEICH|pool-1-thread-12|value.go|596|call|System|Nil|"http: Server closed"| 
[L]2023-11-14 17:23:53.413|5_46025663794264065| INF |DESKTOP-4PAEICH|pool-1-thread-1|app.go|45|0|System|Nil|"framework initialize ..."| 
[L]2023-11-14 17:23:53.425|6_46025663810910209| INF |DESKTOP-4PAEICH|pool-1-thread-1|grpc.go|105|ConnectGrpcServers|System|Nil|"building grpc conn for:user:localhost:9602"| 
[L]2023-11-14 17:23:53.426|7_46025663810975745| INF |DESKTOP-4PAEICH|pool-1-thread-1|grpc.go|105|ConnectGrpcServers|System|Nil|"building grpc conn for:storage:localhost:9702"| 
[L]2023-11-14 17:23:53.428|8_46025663811041281| INF |DESKTOP-4PAEICH|pool-1-thread-1|grpc.go|105|ConnectGrpcServers|System|Nil|"building grpc conn for:organization:<nil>"| 
[L]2023-11-14 17:23:53.431|9_46025663827687425| INF |DESKTOP-4PAEICH|pool-1-thread-1|database.go|33|0|System|Nil|"initialize database ..."| 
[L]2023-11-14 17:23:53.431|10_46025663827752961| INF |DESKTOP-4PAEICH|pool-1-thread-1|database.go|35|0|System|Nil|"initialize mongo ..."| 
[L]2023-11-14 17:23:53.431|11_46025663827818497| INF |DESKTOP-4PAEICH|pool-1-thread-1|database.go|45|0|System|Nil|"mongo connectstring = 'mongodb://localhost'"| 
[L]2023-11-14 17:23:53.451|12_46025663861241857| INF |DESKTOP-4PAEICH|pool-1-thread-1|database.go|138|0|System|Nil|"initialize redis ..."| 
[L]2023-11-14 17:23:53.452|13_46025663861307393| INF |DESKTOP-4PAEICH|pool-1-thread-1|database.go|168|0|System|Nil|"redis host = '[localhost:6379]'"| 
[L]2023-11-14 17:23:53.455|14_46025663861372929| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'class' database = []"| 
[L]2023-11-14 17:23:53.456|15_46025663861438465| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'tag' database = []"| 
[L]2023-11-14 17:23:53.457|16_46025663861504001| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'config' database = []"| 
[L]2023-11-14 17:23:53.458|17_46025663861569537| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'asset' database = []"| 
[L]2023-11-14 17:23:53.458|18_46025663861635073| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'publicAsset' database = []"| 
[L]2023-11-14 17:23:53.459|19_46025663861700609| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'privateAsset' database = []"| 
[L]2023-11-14 17:23:53.459|20_46025663861766145| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'tenantAsset' database = []"| 
[L]2023-11-14 17:23:53.460|21_46025663878019073| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'instanceScopeID' database = []"| 
[L]2023-11-14 17:23:53.463|22_46025663878084609| DBG |DESKTOP-4PAEICH|pool-1-thread-2|bus.go|96|func1|System|Nil|"call log.info args = [Listening and serving HTTP on listener what's bind with address  localhost:8085]"| 
[L]2023-11-14 17:23:53.464|23_46025663878150145| INF |DESKTOP-4PAEICH|pool-1-thread-2|value.go|596|call|System|Nil|"Listening and serving HTTP on listener what's bind with address localhost:8085"| 
[L]2023-11-14 17:24:27.190|24_46025720467568641| ERR |DESKTOP-4PAEICH|pool-1-thread-3|tagLogic.go|60|validateTagType|System|Nil|"Invalid Config Type"| 
[L]2023-11-14 17:24:27.192|25_46025720467634177| ERR |DESKTOP-4PAEICH|pool-1-thread-3|errors.go|138|gitlab.zixel.cn/go/framework.NewServiceError|System|Nil|"[errors.go:126] 0x2055785 error code = 10016, message = Invalid tag Type"| 
[L]2023-11-14 17:24:27.193|26_46025720467699713| ERR |DESKTOP-4PAEICH|pool-1-thread-3|errors.go|112|Error|System|Nil|"
---Error Message: Invalid tag Type%!(EXTRA <nil>)
---C:/Users/92346/Desktop/zixel/asset-library/framework/errors.go:148 (0x2055b2c)
---C:/Users/92346/Desktop/zixel/asset-library/src/restful/router/common.go:21 (0x23e1e1a)
---C:/Users/92346/Desktop/zixel/asset-library/src/restful/router/TagRouter.go:29 (0x23e0ca6)
---C:/Users/92346/Desktop/zixel/asset-library/src/restful/router/TagRouter.go:49 (0x23e0a73)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/context.go:173 (0x158f4ca)
---C:/Users/92346/Desktop/zixel/asset-library/framework/errors.go:42 (0x205d4c9)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/context.go:173 (0x159b379)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/recovery.go:101 (0x159b367)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/context.go:173 (0x158f4ca)
---C:/Users/92346/Desktop/zixel/asset-library/framework/server.go:187 (0x205d2e5)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/context.go:173 (0x159a2ba)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/gin.go:616 (0x1599f4d)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/gin.go:572 (0x1599a7c)
---C:/Program Files/Go/src/net/http/server.go:2938 (0x135378d)
---C:/Program Files/Go/src/net/http/server.go:2009 (0x134f673)
---C:/Program Files/Go/src/runtime/asm_amd64.s:1650 (0xfabd20)
"| 
[L]2023-11-14 17:28:21.613|27_46026113759066113| DBG |DESKTOP-4PAEICH|pool-1-thread-4|bus.go|96|func1|System|Nil|"call Quit args = [interrupt]"| 
